,number,value,datetime_start,datetime_complete,duration,params_n_features,state
87,87,0.5650812514199637,2023-01-08 18:56:20.110068,2023-01-08 18:57:16.528537,0 days 00:00:56.418469,583,COMPLETE
88,88,0.544999640659804,2023-01-08 18:56:28.307966,2023-01-08 18:57:23.237467,0 days 00:00:54.929501,577,COMPLETE
89,89,0.5548088473459389,2023-01-08 18:56:34.629309,2023-01-08 18:57:30.140790,0 days 00:00:55.511481,644,COMPLETE
90,90,0.5521025358647813,2023-01-08 18:56:40.562651,2023-01-08 18:57:36.707271,0 days 00:00:56.144620,568,COMPLETE
91,91,0.5559441831325955,2023-01-08 18:56:48.850546,2023-01-08 18:57:44.323528,0 days 00:00:55.472982,649,COMPLETE
92,92,0.5664745898351893,2023-01-08 18:56:54.666738,2023-01-08 18:57:49.658253,0 days 00:00:54.991515,490,COMPLETE
93,93,0.5569138477046333,2023-01-08 18:57:00.556718,2023-01-08 18:57:56.049920,0 days 00:00:55.493202,647,COMPLETE
94,94,0.5578629980232206,2023-01-08 18:57:06.822173,2023-01-08 18:58:01.166907,0 days 00:00:54.344734,482,COMPLETE
95,95,0.5654411992070153,2023-01-08 18:57:16.635144,2023-01-08 18:58:08.982299,0 days 00:00:52.347155,492,COMPLETE
96,96,0.5567889110974509,2023-01-08 18:57:23.355182,2023-01-08 18:58:14.800378,0 days 00:00:51.445196,648,COMPLETE
97,97,0.5708498571057505,2023-01-08 18:57:30.244686,2023-01-08 18:58:19.425056,0 days 00:00:49.180370,485,COMPLETE
98,98,0.5617397520136167,2023-01-08 18:57:36.788580,2023-01-08 18:58:24.250034,0 days 00:00:47.461454,483,COMPLETE
99,99,0.5663969340545083,2023-01-08 18:57:44.446849,2023-01-08 18:58:29.385440,0 days 00:00:44.938591,739,COMPLETE
