,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,params_probability,state
104,104,0.125,2023-01-15 19:48:33.094189,2023-01-15 19:51:04.640020,0 days 00:02:31.545831,0.20442330390713875,0.07108019154752428,RBF,True,COMPLETE
105,105,0.7126569904030056,2023-01-15 19:48:51.985233,2023-01-15 19:51:23.291944,0 days 00:02:31.306711,0.10442400518398019,0.0082956081983168,RBF,True,COMPLETE
106,106,0.8530016347422447,2023-01-15 19:49:11.259725,2023-01-15 19:51:42.420016,0 days 00:02:31.160291,3.9818770518866122,0.01468315720293991,RBF,True,COMPLETE
107,107,0.5821263862926749,2023-01-15 19:49:29.585055,2023-01-15 19:52:01.367717,0 days 00:02:31.782662,0.09210110556821154,0.014195499092030116,RBF,True,COMPLETE
108,108,0.7824706657008746,2023-01-15 19:49:48.262971,2023-01-15 19:52:19.946958,0 days 00:02:31.683987,0.15621415906079092,0.01567554452781854,RBF,True,COMPLETE
109,109,0.5977112761030144,2023-01-15 19:50:07.256695,2023-01-15 19:52:38.652826,0 days 00:02:31.396131,0.10002006086909469,0.015743844987049855,RBF,True,COMPLETE
110,110,0.7646162570557397,2023-01-15 19:50:26.396111,2023-01-15 19:52:58.091270,0 days 00:02:31.695159,0.13578731213544648,0.014625230063287276,RBF,True,COMPLETE
111,111,0.701430067520856,2023-01-15 19:50:45.784256,2023-01-15 19:53:17.150418,0 days 00:02:31.366162,0.11285364147763131,0.014053097661091267,RBF,True,COMPLETE
112,112,0.8541269571663422,2023-01-15 19:51:04.783917,2023-01-15 19:53:35.976090,0 days 00:02:31.192173,4.1000572216841515,0.01595422270565875,RBF,True,COMPLETE
113,113,0.8499502911741678,2023-01-15 19:51:23.500521,2023-01-15 19:53:54.989771,0 days 00:02:31.489250,10.252813335784813,0.0032719103777754566,RBF,True,COMPLETE
114,114,0.8550092586326411,2023-01-15 19:51:42.575712,2023-01-15 19:54:13.680423,0 days 00:02:31.104711,9.226214257028225,0.002968362731759558,RBF,True,COMPLETE
115,115,0.8515597086615394,2023-01-15 19:52:01.567635,2023-01-15 19:54:32.381205,0 days 00:02:30.813570,9.9910641259554,0.003283898027259463,RBF,True,COMPLETE
116,116,0.8462473053601931,2023-01-15 19:52:20.429317,2023-01-15 19:54:50.903367,0 days 00:02:30.474050,2.2315581277031624,0.0022754062442055076,RBF,True,COMPLETE
117,117,0.12596153846153846,2023-01-15 19:52:38.820253,2023-01-15 19:55:10.652350,0 days 00:02:31.832097,2.2536289588315643,2.805242795455353,RBF,True,COMPLETE
118,118,0.858853263406329,2023-01-15 19:52:58.479209,2023-01-15 19:55:29.692230,0 days 00:02:31.213021,2.2163497300516037,0.03000951964688948,RBF,True,COMPLETE
119,119,0.8447640152677881,2023-01-15 19:53:17.700447,2023-01-15 19:55:48.403624,0 days 00:02:30.703177,2.4504808219847414,0.0030755772737987527,RBF,True,COMPLETE
120,120,0.85200479651719,2023-01-15 19:53:36.186204,2023-01-15 19:56:07.041392,0 days 00:02:30.855188,2.4994107566115136,0.0033517287344647945,RBF,True,COMPLETE
121,121,0.12596153846153846,2023-01-15 19:53:55.199091,2023-01-15 19:56:25.417569,0 days 00:02:30.218478,2.2281118693507413,2.5174841895627726,RBF,True,COMPLETE
122,122,0.8467339888848755,2023-01-15 19:54:14.696929,2023-01-15 19:56:44.960099,0 days 00:02:30.263170,2.276065859060306,0.0024617756064017286,RBF,True,COMPLETE
123,123,0.8481750275438678,2023-01-15 19:54:32.807597,2023-01-15 19:57:03.642159,0 days 00:02:30.834562,2.3229823156080487,0.002079167445038839,RBF,True,COMPLETE
124,124,0.12596153846153846,2023-01-15 19:54:51.034568,2023-01-15 19:57:22.812973,0 days 00:02:31.778405,4.387734229853999,4.676059215406277,RBF,True,COMPLETE
